Key,Type 类型,Context 所属场景/条目,Chinese (Simplified)(zh-CN),English (United States)(en-US)
Scene_001,场景 Scene,入口处,入口处,Entrance
Scene_002,场景 Scene,入口处,入口处附近的角落放着一些运动用品，有呼啦圈、儿童沙包、跳绳、五颜六色的塑料球等，似乎原本是准备在今天的运动会上使用的。往职员室走去的走廊墙上有一个布告栏，贴着孩子们的作品、一些日常通知和希望孤儿院的职员结构图。,"In a corner near the entrance are some sports supplies, including hula hoops, children's sandbags, jump ropes, and colorful plastic balls. They seem to have been prepared for today's sports day. On the corridor wall leading to the staff room is a bulletin board displaying the children's work, some daily notices, and Hope Orphanage's staff organization chart."
Scene_003,场景 Scene,职员室,职员室,Staff Room
Scene_004,场景 Scene,职员室,职员室是一间小型的办公室。除了院长，每一位职员都有属于自己的办公空间，各自的桌上也都粘着该职员的名字。张慧玲的桌上放着关于这次运动会的流程表。王秀丽的桌上放着批改到一半的孩子们的作业。李秀芳的电脑荧幕边缘粘着一张提醒自己密码的小纸条。,"The staff room is a small office. Except for the director, every staff member has their own workspace, with their name attached to their desk. Zhang Huiling's desk has the schedule for the sports day. Wang Xiuli's desk has some of the children's half-graded homework. A small note reminding Li Xiufang of her password is stuck to the edge of her computer monitor."
Story_001,故事/旁白 Story,导入,导入,Introduction
Story_002,故事/旁白 Story,导入,-7月31日-,- July 31 -
Story_003,故事/旁白 Story,导入,在解决了一个简单的案件回到家后，我看了眼手机上显示的日期，又看了看侦探执照上的有效日期……只剩一个月了，是时候要再考一次侦探资格测试更新一下期限了。,"After returning home from solving a simple case, I glanced at the date on my phone, then at the expiration date on my detective license... Only one month left. It's about time I retook the detective qualification test to renew it."
Story_004,故事/旁白 Story,导入,虽然只是重考一次资格测试，想合格还是很有信心的，但以防万一还是去做个练习题吧，毕竟测试的题目与现实的案件还是有点差别的。,"I'm pretty confident I can pass the qualification test again, but just in case, I should do some practice questions. After all, test questions are still a little different from real-life cases."
Story_005,故事/旁白 Story,导入,我在电脑桌前坐下，打开侦探协会的网站并访问了他们公开的测试练习题……,"I sat down at my computer, opened the Detective Association's website, and accessed the practice test they had made available..."
Story_006,故事/旁白 Story,导入,（找猫案件）,(Missing Cat Case)
Story_007,故事/旁白 Story,导入,做完练习题后，时候也不早了。在简单的吃过晚餐、梳洗过后，我躺到了床上，进入梦乡。,"By the time I finished the practice questions, it was already getting late. After a simple dinner and washing up, I lay down in bed and drifted off to sleep."
Story_008,故事/旁白 Story,导入,-8月1日-,- August 1 -
Story_009,故事/旁白 Story,导入,睁开眼睛又是新的一天，不知道今天能不能接到什么好赚的委托呢。如果没有，有趣的行啊。想着这些有的没的，我例行的打开新闻网站看看今天有什么新闻。持续接受最新资讯可是身为一名侦探的基本。,"I opened my eyes to another new day. I wonder if I'll get any well-paying jobs today. If not, something interesting would be fine too. With those idle thoughts in mind, I routinely opened a news site to see what was happening today. Keeping up with the latest information is basic practice for a detective, after all."
Story_010,故事/旁白 Story,导入,-- 阅读《希望孤儿院火灾，院长下落不明！》--,"-- Read ""Hope Orphanage Fire; Director Missing!"" --"
Story_011,故事/旁白 Story,导入,没想到在我睡觉的时候发生了这么一件事，而且从内容与底下的留言来看似乎还不只是一个单纯的火灾事故。正当我想再看看有没有其他资讯时，门铃响了。,"I didn't expect something like this to happen while I was asleep. Judging from the article and the comments below, it didn't seem to be just a simple fire accident either. Just as I was about to look for more information, the doorbell rang."
Story_012,故事/旁白 Story,导入,离开电脑去应门，打开门看到的是一位中年女性。他在看到我的一瞬间就开口对我说到。,"I left the computer to answer the door. Standing outside was a middle-aged woman. The moment she saw me, she spoke."
Dialogue_001,对话 Dialogue,导入,「你就是那个有名的侦探吗，请接下我的委托！」,"""Are you that famous detective? Please take my case!"""
Dialogue_002,对话 Dialogue,导入,「请问你看了今早孤儿院的新闻了吗，我是在里面工作了很久的一位职员。不知道为什么我们院长似乎被冠上了无中生有的污名。我跟了他那么旧，我不认为他是会做出那种事的人。」,"""Did you see the news about the orphanage this morning? I've worked there for a long time. For some reason, our director seems to have been accused of things he never did. I've worked with him for so long, and I don't believe he's the kind of person who would do something like that."""
Dialogue_003,对话 Dialogue,导入,「虽然他这个时间点失踪确实很可疑，所以我希望你能调查这件事情，来证明院长是不是清白的。」,"""It is suspicious that he disappeared at a time like this, though. That's why I want you to investigate and find out whether the director is innocent."""
Story_013,故事/旁白 Story,导入,听完他的话，我决定接下这个委托，将藏在暗面的真相调查清楚。,"After hearing her out, I decided to accept the case and uncover the truth hidden beneath the surface."
Story_014,故事/旁白 Story,导入,OvO,OvO
Announcement_001,公告 Announcement,公告：关于希望孤儿院持续营运说明,公告：关于希望孤儿院持续营运说明,Announcement: Regarding the Continued Operation of Hope Orphanage
Announcement_002,公告 Announcement,公告：关于希望孤儿院持续营运说明,发布日期：2009年5月2日,"Publication Date: May 2, 2009"
Announcement_003,公告 Announcement,公告：关于希望孤儿院持续营运说明,"感谢各位于日前给予希望孤儿院的关心与鼓励。

本院很高兴向大家宣布，在各界的关心与支持下，本院目前的营运问题以获得改善并将继续营运，原先预计的停运安排也将取消。

未来，本院将持续致力于提供孩子们安全、稳定且温暖的成长环境，并妥善运用每一份善心资源，为孩子们创造更好的学习与生活条件。

希望孤儿院 敬启","Thank you for the concern and encouragement you have recently shown Hope Orphanage.

We are pleased to announce that, with the care and support of the community, our current operational difficulties have improved and the orphanage will continue operating. The previously planned closure has therefore been cancelled.

Moving forward, we will remain committed to providing the children with a safe, stable, and warm environment in which to grow. We will also make responsible use of every generous contribution to create better learning and living conditions for them.

Sincerely, Hope Orphanage"
Announcement_004,公告 Announcement,公告：关于希望孤儿院持续营运说明,本院很高兴向大家宣布，在各界的关心与支持下，本院目前的营运问题以获得改善并将继续营运，原先预计的停运安排也将取消。,"We are pleased to announce that, with the care and support of the community, our current operational difficulties have improved and the orphanage will continue operating. The previously planned closure has therefore been cancelled."
Announcement_005,公告 Announcement,公告：关于希望孤儿院持续营运说明,未来，本院将持续致力于提供孩子们安全、稳定且温暖的成长环境，并妥善运用每一份善心资源，为孩子们创造更好的学习与生活条件。,"Moving forward, we will remain committed to providing the children with a safe, stable, and warm environment in which to grow. We will also make responsible use of every generous contribution to create better learning and living conditions for them."
Announcement_006,公告 Announcement,公告：关于希望孤儿院持续营运说明,希望孤儿院 敬启,"Sincerely, Hope Orphanage"
Announcement_007,公告 Announcement,公告：关于希望孤儿院停运说明,公告：关于希望孤儿院停运说明,Announcement: Regarding the Closure of Hope Orphanage
Announcement_008,公告 Announcement,公告：关于希望孤儿院停运说明,发布日期：2009年4月18日,"Publication Date: April 18, 2009"
Announcement_009,公告 Announcement,公告：关于希望孤儿院停运说明,"感谢各位长期以来对希望孤儿院的关心与支持。

由于近年来营运经费持续短缺，加上院舍维护及儿童照护支出不断增加，本院目前已面临严重的财政困难。经多方评估后，希望孤儿院预计将于近期停止营运。

目前，本院正积极与相关政府单位及儿童福利机构联系，妥善安排院内孩子们后续的生活与安置事宜，希望尽可能降低此次事件对孩子们造成的影响。

希望孤儿院 敬启","Thank you for your long-standing care and support for Hope Orphanage.

Due to persistent shortages in operating funds in recent years, along with increasing building maintenance and childcare expenses, the orphanage is currently facing serious financial difficulties. After extensive evaluation, Hope Orphanage is expected to cease operations in the near future.

We are currently working closely with relevant government departments and child welfare organizations to properly arrange the children's future care and placement, in hopes of minimizing the impact this situation may have on them.

Sincerely, Hope Orphanage"
Announcement_010,公告 Announcement,公告：关于希望孤儿院停运说明,由于近年来营运经费持续短缺，加上院舍维护及儿童照护支出不断增加，本院目前已面临严重的财政困难。经多方评估后，希望孤儿院预计将于近期停止营运。,"Due to persistent shortages in operating funds in recent years, along with increasing building maintenance and childcare expenses, the orphanage is currently facing serious financial difficulties. After extensive evaluation, Hope Orphanage is expected to cease operations in the near future."
Announcement_011,公告 Announcement,公告：关于希望孤儿院停运说明,目前，本院正积极与相关政府单位及儿童福利机构联系，妥善安排院内孩子们后续的生活与安置事宜，希望尽可能降低此次事件对孩子们造成的影响。,"We are currently working closely with relevant government departments and child welfare organizations to properly arrange the children's future care and placement, in hopes of minimizing the impact this situation may have on them."
Announcement_012,公告 Announcement,公告：关于希望孤儿院停运说明,希望孤儿院 敬启,"Sincerely, Hope Orphanage"
Scene_005,场景 Scene,家,家,Home
Item_001,物品/线索 Item,书架,书架,Bookshelf
Item_002,物品/线索 Item,书架,书架上整齐的摆着各式各样的书籍。,Various books are neatly arranged on the bookshelf.
Item_003,物品/线索 Item,书架,《侦探的自我修养》、《逻辑假想训练》、《记忆宫殿法》等等有助与本职的书籍。,"Books useful for detective work, such as ""The Detective's Guide to Self-Improvement,"" ""Hypothetical Logic Training,"" and ""The Memory Palace Method."""
Item_004,物品/线索 Item,书架,除此之外还有一些兴趣使然而收集的小说、漫画与杂志等。,"There are also novels, comics, magazines, and other books collected out of personal interest."
Item_005,物品/线索 Item,电脑,电脑,Computer
Item_006,物品/线索 Item,电脑,可用于上网查询资料或浏览各种网站或社交媒体。,Can be used to search for information online or browse various websites and social media platforms.
Item_007,物品/线索 Item,线索板,线索板,Clue Board
Item_008,物品/线索 Item,线索板,在这里整理所有相关的线索并推理出真相。,Organize all relevant clues here and deduce the truth.
Item_009,物品/线索 Item,急救箱,急救箱,First-Aid Kit
Item_010,物品/线索 Item,急救箱,在书架底层有一个小型的急救箱，上面有个蓝色蝴蝶的标志。,"There is a small first-aid kit on the bottom shelf of the bookshelf, marked with a blue butterfly logo."
Item_011,物品/线索 Item,急救箱,是你在开始独居后以防万一买的，不过庆幸的是你的身体很健康，到现在还没有这个急救箱出差的机会。,"You bought it just in case after you started living alone. Thankfully, you've been healthy enough that the first-aid kit hasn't had a chance to do its job yet."
Scene_006,场景 Scene,社交平台,社交平台,Social Media
Post_001,社交媒体帖子 Post,社交平台,在失火后找不到人？感觉院长有点黑啊,Can't find him after the fire? The director seems kinda shady.
Post_002,社交媒体帖子 Post,评论区,评论区,Comments
Comment_001,网络留言 Comment,评论区,果然是跑路了吗,"So he really did run away, huh?"
Comment_002,网络留言 Comment,评论区,真的，不可能这么刚好吧,"Seriously, there's no way the timing is that perfect."
Comment_003,网络留言 Comment,评论区,新闻目前也只说失踪，这么快下结论不好吧,The news only says he's missing for now. Isn't it a bit early to jump to conclusions?
Post_003,社交媒体帖子 Post,评论区,大半夜的怎么会突然意外着火呢？真的幸好有人起床发现了。,How does a fire suddenly start by accident in the middle of the night? Thank goodness someone woke up and noticed it.
Post_004,社交媒体帖子 Post,评论区,评论区,Comments
Comment_004,网络留言 Comment,评论区,真的是意外吗？,Was it really an accident?
Comment_005,网络留言 Comment,评论区,可能是建筑比较老了，哪里的电路有问题吧,Maybe the building is old and there was a problem with the wiring somewhere.
Comment_006,网络留言 Comment,评论区,可那孤儿院很像维护的很好啊，似乎还拿过什么美化奖,But that orphanage looks really well maintained. Didn't it even win some kind of beautification award?
Comment_007,网络留言 Comment,评论区,不管怎样，幸好孩子都没事,"Either way, thank goodness the kids are safe."
Post_005,社交媒体帖子 Post,评论区,就只有我在担心那些孩子没之后怎么办吗？,Am I the only one worried about what will happen to those kids now?
Post_006,社交媒体帖子 Post,评论区,评论区,Comments
Comment_008,网络留言 Comment,评论区,应该会被送去哪个临时安置中心吧,They'll probably be sent to some temporary shelter or placement center.
Comment_009,网络留言 Comment,评论区,我们协会刚刚收到消息，应该就是那边了,Our association just received word. I think that's where they're going.
Comment_010,网络留言 Comment,评论区,希望孩子们不要吓到就好,I just hope the kids aren't too frightened.
Comment_011,网络留言 Comment,评论区,员工们应该会一起过去陪他们吧,The staff will probably go with them and stay by their side.
Post_007,社交媒体帖子 Post,评论区,"消防局提醒您，遇到火灾时请：

1. 若情况允许，请大声呼喊，通知附近的其他人
2. 将毛巾弄湿，盖住口鼻并底下身子前进
3. 请立刻离开火灾现场，切勿贪恋财物
4. 切勿搭乘电梯，而以楼梯逃生","Fire Department reminds you: In the event of a fire, please:

1. If conditions allow, shout loudly to alert others nearby.
2. Wet a towel, cover your nose and mouth, and stay low while moving.
3. Leave the fire scene immediately. Do not risk your safety for belongings.
4. Do not use elevators. Use the stairs to evacuate."
